	正解数	総数	割合
主語	513	558	0.9193548387096774
述語	393	478	0.7043010752688172
目的語	302	488	0.6188524590163934
全単語	1208	1524	0.7926509186351706
全場面	237	489	0.48466257668711654
Why	4	11	0.36363636363636365
What	166	272	0.6102941176470589
How	4	19	0.21052631578947367
When	6	71	0.08450704225352113
Where	33	48	0.6875
Whom	25	27	0.9259259259259259
From	16	21	0.7619047619047619
To	38	43	0.8837209302325582
On	8	16	0.5
Under	0	0	該当なし
Left	0	0	該当なし
Right	0	0	該当なし
Near	1	4	0.25
NextTo	0	0	該当なし
MiddleOf	0	0	該当なし
Opposite	0	1	0.0
hasProperty	18	23	0.782608695652174
hasPredicate	375	454	0.8259911894273128
